"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"46710108","2026","1271032000","003","해평경로당","348-29","84","18","2","1","","2021-03-18 18:02:48.000","2025-11-17 16:03:36.000","","전남광주통합특별시 담양군 고서면 해평길 29-8 ","","4850174","N","951615.712407","1691871.419152","126.9683397","35.2210487","","","","1200","1800","001"
"46710109","2026","1271032000","003","방죽안경로당","136-4","117","33","2","1","","2021-03-18 18:02:48.000","2025-11-17 16:03:52.000","","전남광주통합특별시 담양군 고서면 방죽안길 17 ","","4850174","N","","","126.9638711","35.2219405","","","","1200","1800","001"
"46710110","2026","1271032000","003","외보경로당","543-0","135","17","1","1","","2021-03-18 18:02:48.000","2025-11-17 16:04:03.000","","전남광주통합특별시 담양군 고서면 외보길 57 ","","4850174","N","","","126.9592497","35.2187238","","","","1200","1800","001"
"41500014","2026","4150025000","003","와현2리경로당","287-5","99","24","0","1","","2021-04-20 15:08:49.000","2026-01-14 10:42:11.000","","경기도 이천시 장호원읍 나래천로160번길 183-1","","4070000","N","","","127.60387","37.151019","","","","1000","1700","001"
"4673000284","2026","1273035000","003","연파여성경로당","451-1","50","47","2","1","","2026-05-29 16:20:27.000","2026-05-29 16:20:27.000","","전남광주통합특별시 구례군 광의면 연파1길 13-12","","","","","","127.442041","35.259351","","","","","","001"
"4673000290","2026","1273037000","003","삼성여성경로당","682","54.55","25","2","1","","2026-05-29 16:41:06.000","2026-05-29 16:41:06.000","","전남광주통합특별시 구례군 산동면 수락폭포로 35 (삼성마을회관)","","","","","","127.441776","35.321058","","","","","","001"
"5221000529","2026","5221043000","003","응좌경로당","421-1","93","27","","","","2026-04-15 18:13:51.000","2026-07-21 13:51:36.000","","전북특별자치도 김제시 봉남면 신응2길 263","","","","","","126.942183","35.740583","","","","","","001"
"5221000530","2026","5221043000","003","신주경로당","48","","","","","","2026-04-15 18:15:21.000","2026-07-21 13:51:27.000","","전북특별자치도 김제시 봉남면 신응1길 86-2","","","","","","126.95403","35.740282","","","","","","001"
"5221000601","2026","5221025000","003","만경경수당","275-4","","","","","","2026-04-20 11:32:10.000","2026-07-21 15:48:12.000","","전북특별자치도 김제시 만경읍 두내산로 11-18","","","N","","","126.818489","35.851007","","","","","","001"
"5221000623","2026","5221035000","003","동반월경로당","210-2","88","38","1","1","","2026-05-14 22:46:18.000","2026-06-28 22:37:08.000","","전북특별자치도 김제시 백구면 반월길 17","","","N","","","126.967409","35.892089","","","","","","001"
